ProductKey,Product,Standard Cost,Color,Subcategory,Category,Background Color Format,Font Color Format,Category Key,Subcategory Key,Category ID,Subcategory ID
210,"HL Road Frame - Black, 58",868.63,Black,Road Frames,Components,#000000,#FFFFFF,COM,ROA,1,1
253,"LL Road Frame - Black, 58",176.2,Black,Road Frames,Components,#000000,#FFFFFF,COM,ROA,1,1
254,"LL Road Frame - Black, 58",170.14,Black,Road Frames,Components,#000000,#FFFFFF,COM,ROA,1,1
255,"LL Road Frame - Black, 58",204.63,Black,Road Frames,Components,#000000,#FFFFFF,COM,ROA,1,1
256,"LL Road Frame - Black, 60",176.2,Black,Road Frames,Components,#000000,#FFFFFF,COM,ROA,1,1
257,"LL Road Frame - Black, 60",170.14,Black,Road Frames,Components,#000000,#FFFFFF,COM,ROA,1,1
258,"LL Road Frame - Black, 60",204.63,Black,Road Frames,Components,#000000,#FFFFFF,COM,ROA,1,1
259,"LL Road Frame - Black, 62",176.2,Black,Road Frames,Components,#000000,#FFFFFF,COM,ROA,1,1
260,"LL Road Frame - Black, 62",170.14,Black,Road Frames,Components,#000000,#FFFFFF,COM,ROA,1,1
261,"LL Road Frame - Black, 62",204.63,Black,Road Frames,Components,#000000,#FFFFFF,COM,ROA,1,1
279,"LL Road Frame - Black, 44",176.2,Black,Road Frames,Components,#000000,#FFFFFF,COM,ROA,1,1
280,"LL Road Frame - Black, 44",170.14,Black,Road Frames,Components,#000000,#FFFFFF,COM,ROA,1,1
281,"LL Road Frame - Black, 44",204.63,Black,Road Frames,Components,#000000,#FFFFFF,COM,ROA,1,1
282,"LL Road Frame - Black, 48",176.2,Black,Road Frames,Components,#000000,#FFFFFF,COM,ROA,1,1
283,"LL Road Frame - Black, 48",170.14,Black,Road Frames,Components,#000000,#FFFFFF,COM,ROA,1,1
284,"LL Road Frame - Black, 48",204.63,Black,Road Frames,Components,#000000,#FFFFFF,COM,ROA,1,1
285,"LL Road Frame - Black, 52",176.2,Black,Road Frames,Components,#000000,#FFFFFF,COM,ROA,1,1
286,"LL Road Frame - Black, 52",170.14,Black,Road Frames,Components,#000000,#FFFFFF,COM,ROA,1,1
287,"LL Road Frame - Black, 52",204.63,Black,Road Frames,Components,#000000,#FFFFFF,COM,ROA,1,1
437,"HL Road Frame - Black, 62",722.26,Black,Road Frames,Components,#000000,#FFFFFF,COM,ROA,1,1
438,"HL Road Frame - Black, 62",868.63,Black,Road Frames,Components,#000000,#FFFFFF,COM,ROA,1,1
439,"HL Road Frame - Black, 44",868.63,Black,Road Frames,Components,#000000,#FFFFFF,COM,ROA,1,1
440,"HL Road Frame - Black, 44",868.63,Black,Road Frames,Components,#000000,#FFFFFF,COM,ROA,1,1
441,"HL Road Frame - Black, 48",722.26,Black,Road Frames,Components,#000000,#FFFFFF,COM,ROA,1,1
442,"HL Road Frame - Black, 48",868.63,Black,Road Frames,Components,#000000,#FFFFFF,COM,ROA,1,1
443,"HL Road Frame - Black, 52",722.26,Black,Road Frames,Components,#000000,#FFFFFF,COM,ROA,1,1
444,"HL Road Frame - Black, 52",868.63,Black,Road Frames,Components,#000000,#FFFFFF,COM,ROA,1,1
211,"HL Road Frame - Red, 58",868.63,Red,Road Frames,Components,#FF0000,#FFFFFF,COM,ROA,1,1
238,"HL Road Frame - Red, 62",747.97,Red,Road Frames,Components,#FF0000,#FFFFFF,COM,ROA,1,1
239,"HL Road Frame - Red, 62",722.26,Red,Road Frames,Components,#FF0000,#FFFFFF,COM,ROA,1,1
240,"HL Road Frame - Red, 62",868.63,Red,Road Frames,Components,#FF0000,#FFFFFF,COM,ROA,1,1
241,"HL Road Frame - Red, 44",747.97,Red,Road Frames,Components,#FF0000,#FFFFFF,COM,ROA,1,1
242,"HL Road Frame - Red, 44",722.26,Red,Road Frames,Components,#FF0000,#FFFFFF,COM,ROA,1,1
243,"HL Road Frame - Red, 44",868.63,Red,Road Frames,Components,#FF0000,#FFFFFF,COM,ROA,1,1
244,"HL Road Frame - Red, 48",747.97,Red,Road Frames,Components,#FF0000,#FFFFFF,COM,ROA,1,1
245,"HL Road Frame - Red, 48",722.26,Red,Road Frames,Components,#FF0000,#FFFFFF,COM,ROA,1,1
246,"HL Road Frame - Red, 48",868.63,Red,Road Frames,Components,#FF0000,#FFFFFF,COM,ROA,1,1
247,"HL Road Frame - Red, 52",747.97,Red,Road Frames,Components,#FF0000,#FFFFFF,COM,ROA,1,1
248,"HL Road Frame - Red, 52",722.26,Red,Road Frames,Components,#FF0000,#FFFFFF,COM,ROA,1,1
249,"HL Road Frame - Red, 52",868.63,Red,Road Frames,Components,#FF0000,#FFFFFF,COM,ROA,1,1
250,"HL Road Frame - Red, 56",747.97,Red,Road Frames,Components,#FF0000,#FFFFFF,COM,ROA,1,1
251,"HL Road Frame - Red, 56",722.26,Red,Road Frames,Components,#FF0000,#FFFFFF,COM,ROA,1,1
252,"HL Road Frame - Red, 56",868.63,Red,Road Frames,Components,#FF0000,#FFFFFF,COM,ROA,1,1
262,"LL Road Frame - Red, 44",181.49,Red,Road Frames,Components,#FF0000,#FFFFFF,COM,ROA,1,1
263,"LL Road Frame - Red, 44",187.16,Red,Road Frames,Components,#FF0000,#FFFFFF,COM,ROA,1,1
