Category ID,Subcategory ID,Subcategory,,,,,,,,,
1,1,Road Frames,,,,,,,,,
3,4,Road Bikes,,,,,,,,,
1,3,Mountain Frames,,,,,,,,,
3,5,Mountain Bikes,,,,,,,,,
2,2,Helmets,,,,,,,,,
1,6,Wheels,,,,,,,,,
4,7,Shorts,,,,,,,,,
4,8,Tights,,,,,,,,,
4,9,Gloves,,,,,,,,,
1,10,Cranksets,,,,,,,,,
4,11,Socks,,,,,,,,,
4,12,Caps,,,,,,,,,
4,13,Jerseys,,,,,,,,,
1,14,Forks,,,,,,,,,
1,15,Headsets,,,,,,,,,
1,16,Handlebars,,,,,,,,,
2,17,Panniers,,,,,,,,,
2,18,Locks,,,,,,,,,
2,19,Pumps,,,,,,,,,
2,20,Lights,,,,,,,,,
4,21,Bib-Shorts,,,,,,,,,
4,22,Vests,,,,,,,,,
2,23,Bottles and Cages,,,,,,,,,
2,24,Tires and Tubes,,,,,,,,,
2,25,Bike Racks,,,,,,,,,
2,26,Cleaners,,,,,,,,,
2,27,Fenders,,,,,,,,,
2,28,Bike Stands,,,,,,,,,
2,29,Hydration Packs,,,,,,,,,
1,30,Touring Frames,,,,,,,,,
1,31,Derailleurs,,,,,,,,,
1,32,Brakes,,,,,,,,,
1,33,Saddles,,,,,,,,,
1,34,Pedals,,,,,,,,,
1,35,Chains,,,,,,,,,
3,36,Touring Bikes,,,,,,,,,
1,37,Bottom Brackets,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
